name,Protein,Energy,"Carbohydrate, by difference",Total lipid (fat),foodPortions
Bread stuffing,"{'Amount': 3.14, 'unit': 'g'}","{'Amount': 177, 'unit': 'kcal'}","{'Amount': 21.7, 'unit': 'g'}","{'Amount': 8.51, 'unit': 'g'}","[{'gramWeight': 200, 'portionDescription': '1 cup, NFS'}, {'gramWeight': 228, 'portionDescription': '1 cup, dry mix, prepared'}, {'gramWeight': 10, 'portionDescription': '1 cubic inch'}, {'gramWeight': 100, 'portionDescription': 'Quantity not specified'}]"
Bread stuffing made with egg,"{'Amount': 3.32, 'unit': 'g'}","{'Amount': 192, 'unit': 'kcal'}","{'Amount': 17.8, 'unit': 'g'}","{'Amount': 11.9, 'unit': 'g'}","[{'gramWeight': 170, 'portionDescription': '1 cup'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Breadsticks, NFS","{'Amount': 12.2, 'unit': 'g'}","{'Amount': 342, 'unit': 'kcal'}","{'Amount': 44.4, 'unit': 'g'}","{'Amount': 12.8, 'unit': 'g'}","[{'gramWeight': 43, 'portionDescription': '1 medium stick'}, {'gramWeight': 53, 'portionDescription': '1 large stick'}, {'gramWeight': 28, 'portionDescription': '1 small stick'}, {'gramWeight': 54, 'portionDescription': 'Quantity not specified'}]"
"Breadsticks, hard, NFS","{'Amount': 12.0, 'unit': 'g'}","{'Amount': 412, 'unit': 'kcal'}","{'Amount': 68.4, 'unit': 'g'}","{'Amount': 9.5, 'unit': 'g'}","[{'gramWeight': 46, 'portionDescription': '1 cup'}, {'gramWeight': 35, 'portionDescription': '1 extra large stick'}, {'gramWeight': 5, 'portionDescription': '1 small stick'}, {'gramWeight': 10, 'portionDescription': '1 medium stick'}, {'gramWeight': 20, 'portionDescription': '1 large stick'}, {'gramWeight': 2, 'portionDescription': '1 snack size stick'}, {'gramWeight': 12, 'portionDescription': 'Quantity not specified'}]"
"Breadsticks, hard, reduced sodium","{'Amount': 10.6, 'unit': 'g'}","{'Amount': 431, 'unit': 'kcal'}","{'Amount': 71.6, 'unit': 'g'}","{'Amount': 10.6, 'unit': 'g'}","[{'gramWeight': 46, 'portionDescription': '1 cup'}, {'gramWeight': 2, 'portionDescription': '1 snack size stick'}, {'gramWeight': 35, 'portionDescription': '1 extra large stick'}, {'gramWeight': 20, 'portionDescription': '1 large stick'}, {'gramWeight': 10, 'portionDescription': '1 medium stick'}, {'gramWeight': 5, 'portionDescription': '1 small stick'}, {'gramWeight': 12, 'portionDescription': 'Quantity not specified'}]"
"Breadsticks, soft, NFS","{'Amount': 12.2, 'unit': 'g'}","{'Amount': 342, 'unit': 'kcal'}","{'Amount': 44.4, 'unit': 'g'}","{'Amount': 12.8, 'unit': 'g'}","[{'gramWeight': 43, 'portionDescription': '1 medium stick'}, {'gramWeight': 53, 'portionDescription': '1 large stick'}, {'gramWeight': 28, 'portionDescription': '1 small stick'}, {'gramWeight': 54, 'portionDescription': 'Quantity not specified'}]"
"Breadsticks, soft, from fast food / restaurant","{'Amount': 12.2, 'unit': 'g'}","{'Amount': 342, 'unit': 'kcal'}","{'Amount': 44.4, 'unit': 'g'}","{'Amount': 12.8, 'unit': 'g'}","[{'gramWeight': 26, 'portionDescription': '1 small stick'}, {'gramWeight': 40, 'portionDescription': '1 medium stick'}, {'gramWeight': 50, 'portionDescription': '1 large stick'}, {'gramWeight': 34, 'portionDescription': '1 garlic knot'}, {'gramWeight': 50, 'portionDescription': 'Quantity not specified'}]"
"Breadsticks, soft, from frozen","{'Amount': 11.1, 'unit': 'g'}","{'Amount': 314, 'unit': 'kcal'}","{'Amount': 46.4, 'unit': 'g'}","{'Amount': 9.16, 'unit': 'g'}","[{'gramWeight': 50, 'portionDescription': '1 large stick'}, {'gramWeight': 34, 'portionDescription': '1 garlic knot'}, {'gramWeight': 26, 'portionDescription': '1 small stick'}, {'gramWeight': 40, 'portionDescription': '1 medium stick'}, {'gramWeight': 50, 'portionDescription': 'Quantity not specified'}]"
"Breadsticks, soft, with parmesan cheese, from fast food / restaurant","{'Amount': 12.5, 'unit': 'g'}","{'Amount': 344, 'unit': 'kcal'}","{'Amount': 43.8, 'unit': 'g'}","{'Amount': 13.2, 'unit': 'g'}","[{'gramWeight': 57, 'portionDescription': '1 focaccia slice'}, {'gramWeight': 38, 'portionDescription': '1 ""Crazy Bread"" stick'}, {'gramWeight': 43, 'portionDescription': '1 medium stick'}, {'gramWeight': 36, 'portionDescription': '1 garlic knot'}, {'gramWeight': 28, 'portionDescription': '1 small stick'}, {'gramWeight': 53, 'portionDescription': '1 large stick'}, {'gramWeight': 54, 'portionDescription': 'Quantity not specified'}]"
"Breadsticks, soft, with parmesan cheese, from frozen","{'Amount': 11.1, 'unit': 'g'}","{'Amount': 314, 'unit': 'kcal'}","{'Amount': 46.4, 'unit': 'g'}","{'Amount': 9.16, 'unit': 'g'}","[{'gramWeight': 57, 'portionDescription': '1 focaccia slice'}, {'gramWeight': 28, 'portionDescription': '1 small stick'}, {'gramWeight': 53, 'portionDescription': '1 large stick'}, {'gramWeight': 36, 'portionDescription': '1 garlic knot'}, {'gramWeight': 43, 'portionDescription': '1 medium stick'}, {'gramWeight': 54, 'portionDescription': 'Quantity not specified'}]"
"Breadsticks, soft, topped with melted cheese","{'Amount': 14.5, 'unit': 'g'}","{'Amount': 333, 'unit': 'kcal'}","{'Amount': 36.4, 'unit': 'g'}","{'Amount': 14.4, 'unit': 'g'}","[{'gramWeight': 60, 'portionDescription': '1 large stick'}, {'gramWeight': 40, 'portionDescription': '1 garlic knot'}, {'gramWeight': 31, 'portionDescription': '1 small stick'}, {'gramWeight': 48, 'portionDescription': '1 medium stick'}, {'gramWeight': 60, 'portionDescription': 'Quantity not specified'}]"
"Breadsticks, soft, stuffed with melted cheese","{'Amount': 14.5, 'unit': 'g'}","{'Amount': 333, 'unit': 'kcal'}","{'Amount': 36.4, 'unit': 'g'}","{'Amount': 14.4, 'unit': 'g'}","[{'gramWeight': 61, 'portionDescription': '1 medium stick'}, {'gramWeight': 40, 'portionDescription': '1 small stick'}, {'gramWeight': 77, 'portionDescription': '1 large stick'}, {'gramWeight': 76, 'portionDescription': 'Quantity not specified'}]"
Croutons,"{'Amount': 10.8, 'unit': 'g'}","{'Amount': 465, 'unit': 'kcal'}","{'Amount': 63.5, 'unit': 'g'}","{'Amount': 18.3, 'unit': 'g'}","[{'gramWeight': 40, 'portionDescription': '1 cup'}, {'gramWeight': 12, 'portionDescription': '1 fast food package'}, {'gramWeight': 1, 'portionDescription': '4 cubes'}, {'gramWeight': 5, 'portionDescription': 'Quantity not specified'}]"
"Muffin, English","{'Amount': 8.87, 'unit': 'g'}","{'Amount': 227, 'unit': 'kcal'}","{'Amount': 44.2, 'unit': 'g'}","{'Amount': 1.69, 'unit': 'g'}","[{'gramWeight': 58, 'portionDescription': '1 muffin'}, {'gramWeight': 92, 'portionDescription': '1 sandwich size muffin'}, {'gramWeight': 58, 'portionDescription': 'Quantity not specified'}]"
"Muffin, English, with raisins","{'Amount': 8.31, 'unit': 'g'}","{'Amount': 234, 'unit': 'kcal'}","{'Amount': 47.7, 'unit': 'g'}","{'Amount': 1.55, 'unit': 'g'}","[{'gramWeight': 58, 'portionDescription': '1 muffin'}, {'gramWeight': 58, 'portionDescription': 'Quantity not specified'}]"
"Muffin, English, cheese","{'Amount': 9.59, 'unit': 'g'}","{'Amount': 236, 'unit': 'kcal'}","{'Amount': 42.1, 'unit': 'g'}","{'Amount': 3.31, 'unit': 'g'}","[{'gramWeight': 58, 'portionDescription': '1 muffin'}, {'gramWeight': 58, 'portionDescription': 'Quantity not specified'}]"
"Muffin, English, with fruit other than raisins","{'Amount': 9.31, 'unit': 'g'}","{'Amount': 243, 'unit': 'kcal'}","{'Amount': 47.6, 'unit': 'g'}","{'Amount': 1.8, 'unit': 'g'}","[{'gramWeight': 58, 'portionDescription': '1 muffin'}, {'gramWeight': 58, 'portionDescription': 'Quantity not specified'}]"
Melba toast,"{'Amount': 12.1, 'unit': 'g'}","{'Amount': 390, 'unit': 'kcal'}","{'Amount': 76.6, 'unit': 'g'}","{'Amount': 3.2, 'unit': 'g'}","[{'gramWeight': 30, 'portionDescription': '1 cup, NFS'}, {'gramWeight': 5, 'portionDescription': '1 cracker'}, {'gramWeight': 5, 'portionDescription': '1 crostini'}, {'gramWeight': 5, 'portionDescription': '1 melba toast'}, {'gramWeight': 18, 'portionDescription': 'Quantity not specified'}]"
Anisette toast,"{'Amount': 10.1, 'unit': 'g'}","{'Amount': 426, 'unit': 'kcal'}","{'Amount': 74.2, 'unit': 'g'}","{'Amount': 9.7, 'unit': 'g'}","[{'gramWeight': 10, 'portionDescription': '1 piece'}, {'gramWeight': 18, 'portionDescription': 'Quantity not specified'}]"
Pannetone,"{'Amount': 8.66, 'unit': 'g'}","{'Amount': 321, 'unit': 'kcal'}","{'Amount': 53.7, 'unit': 'g'}","{'Amount': 8.24, 'unit': 'g'}","[{'gramWeight': 27, 'portionDescription': '1 slice'}, {'gramWeight': 27, 'portionDescription': 'Quantity not specified'}]"
Zwieback toast,"{'Amount': 10.1, 'unit': 'g'}","{'Amount': 426, 'unit': 'kcal'}","{'Amount': 74.2, 'unit': 'g'}","{'Amount': 9.7, 'unit': 'g'}","[{'gramWeight': 5, 'portionDescription': '1 piece'}, {'gramWeight': 10, 'portionDescription': '1 rusk'}, {'gramWeight': 5, 'portionDescription': '1 Gerber Zwieback toast'}, {'gramWeight': 18, 'portionDescription': 'Quantity not specified'}]"
"Bread, whole grain white","{'Amount': 10.7, 'unit': 'g'}","{'Amount': 238, 'unit': 'kcal'}","{'Amount': 43.9, 'unit': 'g'}","{'Amount': 2.15, 'unit': 'g'}","[{'gramWeight': 43, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 16, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 10, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 36, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 24, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 36, 'portionDescription': 'Quantity not specified'}]"
"Bread, whole grain white, toasted","{'Amount': 11.7, 'unit': 'g'}","{'Amount': 262, 'unit': 'kcal'}","{'Amount': 48.2, 'unit': 'g'}","{'Amount': 2.36, 'unit': 'g'}","[{'gramWeight': 39, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 15, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 9, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 33, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 22, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 33, 'portionDescription': 'Quantity not specified'}]"
"Bagel, whole grain white","{'Amount': 10.2, 'unit': 'g'}","{'Amount': 250, 'unit': 'kcal'}","{'Amount': 48.9, 'unit': 'g'}","{'Amount': 1.53, 'unit': 'g'}","[{'gramWeight': 131, 'portionDescription': '1 large'}, {'gramWeight': 26, 'portionDescription': '1 miniature'}, {'gramWeight': 69, 'portionDescription': '1 small'}, {'gramWeight': 105, 'portionDescription': '1 regular'}, {'gramWeight': 46, 'portionDescription': '1 Bagel Thin'}, {'gramWeight': 105, 'portionDescription': 'Quantity not specified'}]"
"Bread, whole wheat","{'Amount': 12.3, 'unit': 'g'}","{'Amount': 254, 'unit': 'kcal'}","{'Amount': 43.1, 'unit': 'g'}","{'Amount': 3.55, 'unit': 'g'}","[{'gramWeight': 3.2, 'portionDescription': '1 cubic inch'}, {'gramWeight': 43, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 16, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 10, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 24, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 36, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 36, 'portionDescription': 'Quantity not specified'}]"
"Bread, whole wheat, toasted","{'Amount': 13.5, 'unit': 'g'}","{'Amount': 279, 'unit': 'kcal'}","{'Amount': 47.4, 'unit': 'g'}","{'Amount': 3.9, 'unit': 'g'}","[{'gramWeight': 39, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 15, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 9, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 33, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 22, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 33, 'portionDescription': 'Quantity not specified'}]"
"Bread, whole wheat, made from home recipe or purchased at bakery","{'Amount': 9.22, 'unit': 'g'}","{'Amount': 248, 'unit': 'kcal'}","{'Amount': 47.4, 'unit': 'g'}","{'Amount': 4.07, 'unit': 'g'}","[{'gramWeight': 4.7, 'portionDescription': '1 cubic inch'}, {'gramWeight': 82, 'portionDescription': '1 individual loaf'}, {'gramWeight': 55, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 20, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 44, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 33, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 44, 'portionDescription': 'Quantity not specified'}]"
"Bread, whole wheat, made from home recipe or purchased at bakery, toasted","{'Amount': 10.1, 'unit': 'g'}","{'Amount': 272, 'unit': 'kcal'}","{'Amount': 52.1, 'unit': 'g'}","{'Amount': 4.48, 'unit': 'g'}","[{'gramWeight': 4.3, 'portionDescription': '1 cubic inch'}, {'gramWeight': 50, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 18, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 40, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 30, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 40, 'portionDescription': 'Quantity not specified'}]"
"Bread, chappatti or roti, wheat","{'Amount': 7.85, 'unit': 'g'}","{'Amount': 299, 'unit': 'kcal'}","{'Amount': 46.1, 'unit': 'g'}","{'Amount': 9.2, 'unit': 'g'}","[{'gramWeight': 1, 'portionDescription': '1 surface inch'}, {'gramWeight': 52, 'portionDescription': '1 large chappatti or roti (8"")'}, {'gramWeight': 40, 'portionDescription': '1 medium chappatti or roti (7"")'}, {'gramWeight': 27, 'portionDescription': '1 small chappatti or roti (6"")'}, {'gramWeight': 40, 'portionDescription': 'Quantity not specified'}]"
"Bread, puri, wheat","{'Amount': 6.2, 'unit': 'g'}","{'Amount': 397, 'unit': 'kcal'}","{'Amount': 39.2, 'unit': 'g'}","{'Amount': 24.8, 'unit': 'g'}","[{'gramWeight': 36, 'portionDescription': '1 puri (approx 4-4/5"" dia)'}, {'gramWeight': 36, 'portionDescription': 'Quantity not specified'}]"
"Bread, paratha, wheat","{'Amount': 6.36, 'unit': 'g'}","{'Amount': 326, 'unit': 'kcal'}","{'Amount': 45.4, 'unit': 'g'}","{'Amount': 13.2, 'unit': 'g'}","[{'gramWeight': 70, 'portionDescription': '1 paratha'}, {'gramWeight': 70, 'portionDescription': 'Quantity not specified'}]"
"Bread, whole wheat, with raisins","{'Amount': 7.73, 'unit': 'g'}","{'Amount': 274, 'unit': 'kcal'}","{'Amount': 56.7, 'unit': 'g'}","{'Amount': 3.98, 'unit': 'g'}","[{'gramWeight': 43, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 10, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 16, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 36, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 24, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 36, 'portionDescription': 'Quantity not specified'}]"
"Bread, whole wheat, with raisins, toasted","{'Amount': 8.5, 'unit': 'g'}","{'Amount': 301, 'unit': 'kcal'}","{'Amount': 62.3, 'unit': 'g'}","{'Amount': 4.38, 'unit': 'g'}","[{'gramWeight': 39, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 15, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 9, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 33, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 22, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 33, 'portionDescription': 'Quantity not specified'}]"
"Bread, sprouted wheat","{'Amount': 13.2, 'unit': 'g'}","{'Amount': 188, 'unit': 'kcal'}","{'Amount': 33.9, 'unit': 'g'}","{'Amount': 0.0, 'unit': 'g'}","[{'gramWeight': 26, 'portionDescription': '1 slice'}, {'gramWeight': 26, 'portionDescription': 'Quantity not specified'}]"
"Bread, sprouted wheat, toasted","{'Amount': 14.5, 'unit': 'g'}","{'Amount': 207, 'unit': 'kcal'}","{'Amount': 37.2, 'unit': 'g'}","{'Amount': 0.0, 'unit': 'g'}","[{'gramWeight': 24, 'portionDescription': '1 slice'}, {'gramWeight': 24, 'portionDescription': 'Quantity not specified'}]"
"Bread, wheat or cracked wheat","{'Amount': 10.7, 'unit': 'g'}","{'Amount': 274, 'unit': 'kcal'}","{'Amount': 47.5, 'unit': 'g'}","{'Amount': 4.53, 'unit': 'g'}","[{'gramWeight': 3.2, 'portionDescription': '1 cubic inch'}, {'gramWeight': 43, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 10, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 13, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 24, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 28, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 28, 'portionDescription': 'Quantity not specified'}]"
"Bread, wheat or cracked wheat, toasted","{'Amount': 11.7, 'unit': 'g'}","{'Amount': 301, 'unit': 'kcal'}","{'Amount': 52.2, 'unit': 'g'}","{'Amount': 4.98, 'unit': 'g'}","[{'gramWeight': 2.9, 'portionDescription': '1 cubic inch'}, {'gramWeight': 39, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 9, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 12, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 25, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 22, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 25, 'portionDescription': 'Quantity not specified'}]"
"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery","{'Amount': 8.94, 'unit': 'g'}","{'Amount': 263, 'unit': 'kcal'}","{'Amount': 49.2, 'unit': 'g'}","{'Amount': 3.64, 'unit': 'g'}","[{'gramWeight': 4.7, 'portionDescription': '1 cubic inch'}, {'gramWeight': 82, 'portionDescription': '1 individual loaf'}, {'gramWeight': 55, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 20, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 44, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 33, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 44, 'portionDescription': 'Quantity not specified'}]"
"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery, toasted","{'Amount': 9.82, 'unit': 'g'}","{'Amount': 289, 'unit': 'kcal'}","{'Amount': 54.1, 'unit': 'g'}","{'Amount': 4.0, 'unit': 'g'}","[{'gramWeight': 4.3, 'portionDescription': '1 cubic inch'}, {'gramWeight': 50, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 18, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 40, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 30, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 40, 'portionDescription': 'Quantity not specified'}]"
"Bread, wheat or cracked wheat, with raisins","{'Amount': 7.57, 'unit': 'g'}","{'Amount': 285, 'unit': 'kcal'}","{'Amount': 57.8, 'unit': 'g'}","{'Amount': 3.64, 'unit': 'g'}","[{'gramWeight': 43, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 10, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 13, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 28, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 24, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 28, 'portionDescription': 'Quantity not specified'}]"
"Bread, wheat or cracked wheat, with raisins, toasted","{'Amount': 8.32, 'unit': 'g'}","{'Amount': 313, 'unit': 'kcal'}","{'Amount': 63.5, 'unit': 'g'}","{'Amount': 4.0, 'unit': 'g'}","[{'gramWeight': 39, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 12, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 9, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 25, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 22, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 25, 'portionDescription': 'Quantity not specified'}]"
"Bread, wheat or cracked wheat, reduced calorie and/or high fiber","{'Amount': 8.91, 'unit': 'g'}","{'Amount': 207, 'unit': 'kcal'}","{'Amount': 44.9, 'unit': 'g'}","{'Amount': 2.55, 'unit': 'g'}","[{'gramWeight': 43, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 10, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 13, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 24, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 28, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 28, 'portionDescription': 'Quantity not specified'}]"
"Bread, wheat or cracked wheat, reduced calorie and/or high fiber, toasted","{'Amount': 9.79, 'unit': 'g'}","{'Amount': 228, 'unit': 'kcal'}","{'Amount': 49.4, 'unit': 'g'}","{'Amount': 2.8, 'unit': 'g'}","[{'gramWeight': 39, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 12, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 9, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 22, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 25, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 25, 'portionDescription': 'Quantity not specified'}]"
"Bread, French or Vienna, whole wheat","{'Amount': 8.33, 'unit': 'g'}","{'Amount': 239, 'unit': 'kcal'}","{'Amount': 49.1, 'unit': 'g'}","{'Amount': 1.04, 'unit': 'g'}","[{'gramWeight': 45, 'portionDescription': '1 cup, crumbs'}, {'gramWeight': 3.7, 'portionDescription': '1 cubic inch'}, {'gramWeight': 82, 'portionDescription': '1 individual loaf'}, {'gramWeight': 96, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 470, 'portionDescription': '1 loaf (14"" long)'}, {'gramWeight': 10, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 31, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 324, 'portionDescription': '1 baguette (about 22"" long)'}, {'gramWeight': 152, 'portionDescription': '1 mini baguette (about 9"" long)'}, {'gramWeight': 28, 'portionDescription': '1 slice, Vienna bread'}, {'gramWeight': 64, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 32, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 64, 'portionDescription': 'Quantity not specified'}]"
"Bread, French or Vienna, whole wheat, toasted","{'Amount': 9.15, 'unit': 'g'}","{'Amount': 263, 'unit': 'kcal'}","{'Amount': 54.0, 'unit': 'g'}","{'Amount': 1.14, 'unit': 'g'}","[{'gramWeight': 3.4, 'portionDescription': '1 cubic inch'}, {'gramWeight': 88, 'portionDescription': '1 large or thick slice'}, {'gramWeight': 428, 'portionDescription': '1 loaf (14"" long)'}, {'gramWeight': 9, 'portionDescription': '1 slice, snack-size'}, {'gramWeight': 28, 'portionDescription': '1 slice, crust not eaten'}, {'gramWeight': 26, 'portionDescription': '1 slice, Vienna bread'}, {'gramWeight': 29, 'portionDescription': '1 small or thin/very thin slice'}, {'gramWeight': 59, 'portionDescription': '1 medium or regular slice'}, {'gramWeight': 59, 'portionDescription': 'Quantity not specified'}]"
"Bread, pita, whole wheat","{'Amount': 9.8, 'unit': 'g'}","{'Amount': 262, 'unit': 'kcal'}","{'Amount': 55.9, 'unit': 'g'}","{'Amount': 1.71, 'unit': 'g'}","[{'gramWeight': 2, 'portionDescription': '1 surface inch'}, {'gramWeight': 85, 'portionDescription': '1 large pita'}, {'gramWeight': 28, 'portionDescription': '1 small pita'}, {'gramWeight': 114, 'portionDescription': '1 extra large pita'}, {'gramWeight': 57, 'portionDescription': '1 medium pita'}, {'gramWeight': 57, 'portionDescription': 'Quantity not specified'}]"
"Bread, pita, whole wheat, toasted","{'Amount': 10.8, 'unit': 'g'}","{'Amount': 288, 'unit': 'kcal'}","{'Amount': 61.4, 'unit': 'g'}","{'Amount': 1.88, 'unit': 'g'}","[{'gramWeight': 2, 'portionDescription': '1 surface inch'}, {'gramWeight': 52, 'portionDescription': '1 medium pita'}, {'gramWeight': 77, 'portionDescription': '1 large pita'}, {'gramWeight': 104, 'portionDescription': '1 extra large pita'}, {'gramWeight': 25, 'portionDescription': '1 small pita'}, {'gramWeight': 52, 'portionDescription': 'Quantity not specified'}]"
"Bread, pita, wheat or cracked wheat","{'Amount': 9.8, 'unit': 'g'}","{'Amount': 262, 'unit': 'kcal'}","{'Amount': 55.9, 'unit': 'g'}","{'Amount': 1.71, 'unit': 'g'}","[{'gramWeight': 2, 'portionDescription': '1 surface inch'}, {'gramWeight': 28, 'portionDescription': '1 small pita'}, {'gramWeight': 85, 'portionDescription': '1 large pita'}, {'gramWeight': 57, 'portionDescription': '1 medium pita'}, {'gramWeight': 114, 'portionDescription': '1 extra large pita'}, {'gramWeight': 57, 'portionDescription': 'Quantity not specified'}]"
"Bread, pita, wheat or cracked wheat, toasted","{'Amount': 10.8, 'unit': 'g'}","{'Amount': 288, 'unit': 'kcal'}","{'Amount': 61.4, 'unit': 'g'}","{'Amount': 1.88, 'unit': 'g'}","[{'gramWeight': 2, 'portionDescription': '1 surface inch'}, {'gramWeight': 77, 'portionDescription': '1 large pita'}, {'gramWeight': 104, 'portionDescription': '1 extra large pita'}, {'gramWeight': 25, 'portionDescription': '1 small pita'}, {'gramWeight': 52, 'portionDescription': '1 medium pita'}, {'gramWeight': 52, 'portionDescription': 'Quantity not specified'}]"
"Bagel, wheat","{'Amount': 10.2, 'unit': 'g'}","{'Amount': 250, 'unit': 'kcal'}","{'Amount': 48.9, 'unit': 'g'}","{'Amount': 1.53, 'unit': 'g'}","[{'gramWeight': 131, 'portionDescription': '1 large'}, {'gramWeight': 26, 'portionDescription': '1 miniature'}, {'gramWeight': 69, 'portionDescription': '1 small'}, {'gramWeight': 105, 'portionDescription': '1 regular'}, {'gramWeight': 46, 'portionDescription': '1 Bagel Thin'}, {'gramWeight': 105, 'portionDescription': 'Quantity not specified'}]"
"Bagel, whole wheat","{'Amount': 10.2, 'unit': 'g'}","{'Amount': 250, 'unit': 'kcal'}","{'Amount': 48.9, 'unit': 'g'}","{'Amount': 1.53, 'unit': 'g'}","[{'gramWeight': 131, 'portionDescription': '1 large'}, {'gramWeight': 26, 'portionDescription': '1 miniature'}, {'gramWeight': 69, 'portionDescription': '1 small'}, {'gramWeight': 105, 'portionDescription': '1 regular'}, {'gramWeight': 46, 'portionDescription': '1 Bagel Thin'}, {'gramWeight': 105, 'portionDescription': 'Quantity not specified'}]"
