name,Protein,Energy,"Carbohydrate, by difference",Total lipid (fat),foodPortions
"Goat's milk, whole","{'Amount': 3.56, 'unit': 'g'}","{'Amount': 69.0, 'unit': 'kcal'}","{'Amount': 4.45, 'unit': 'g'}","{'Amount': 4.14, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, dry, reconstituted, NS as to fat content","{'Amount': 3.2, 'unit': 'g'}","{'Amount': 32.0, 'unit': 'kcal'}","{'Amount': 4.6, 'unit': 'g'}","{'Amount': 0.07, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, dry, reconstituted, whole","{'Amount': 4.01, 'unit': 'g'}","{'Amount': 76.0, 'unit': 'kcal'}","{'Amount': 5.86, 'unit': 'g'}","{'Amount': 4.08, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, dry, reconstituted, low fat (1%)","{'Amount': 3.17, 'unit': 'g'}","{'Amount': 40.0, 'unit': 'kcal'}","{'Amount': 4.55, 'unit': 'g'}","{'Amount': 1.01, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, dry, reconstituted, fat free (skim)","{'Amount': 3.2, 'unit': 'g'}","{'Amount': 32.0, 'unit': 'kcal'}","{'Amount': 4.6, 'unit': 'g'}","{'Amount': 0.07, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, evaporated, NS as to fat content ","{'Amount': 6.81, 'unit': 'g'}","{'Amount': 134, 'unit': 'kcal'}","{'Amount': 10.0, 'unit': 'g'}","{'Amount': 7.56, 'unit': 'g'}","[{'gramWeight': 252, 'portionDescription': '1 cup'}, {'gramWeight': 31.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.6, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 16, 'portionDescription': 'Quantity not specified'}, {'gramWeight': 16, 'portionDescription': 'Quantity not specified, if in beverage'}, {'gramWeight': 126, 'portionDescription': 'Quantity not specified, as a drink or on cereal'}]"
"Milk, evaporated, whole ","{'Amount': 6.81, 'unit': 'g'}","{'Amount': 134, 'unit': 'kcal'}","{'Amount': 10.0, 'unit': 'g'}","{'Amount': 7.56, 'unit': 'g'}","[{'gramWeight': 252, 'portionDescription': '1 cup'}, {'gramWeight': 31.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.6, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 16, 'portionDescription': 'Quantity not specified'}, {'gramWeight': 16, 'portionDescription': 'Quantity not specified, if in beverage'}, {'gramWeight': 126, 'portionDescription': 'Quantity not specified, as a drink or on cereal'}]"
"Milk, evaporated, reduced fat (2%)","{'Amount': 7.42, 'unit': 'g'}","{'Amount': 92.0, 'unit': 'kcal'}","{'Amount': 11.2, 'unit': 'g'}","{'Amount': 1.96, 'unit': 'g'}","[{'gramWeight': 252, 'portionDescription': '1 cup'}, {'gramWeight': 31.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 16, 'portionDescription': 'Quantity not specified'}, {'gramWeight': 126, 'portionDescription': 'Quantity not specified, as a drink or on cereal'}, {'gramWeight': 16, 'portionDescription': 'Quantity not specified, if in beverage'}]"
"Milk, evaporated, fat free (skim)","{'Amount': 7.55, 'unit': 'g'}","{'Amount': 78.0, 'unit': 'kcal'}","{'Amount': 11.4, 'unit': 'g'}","{'Amount': 0.2, 'unit': 'g'}","[{'gramWeight': 252, 'portionDescription': '1 cup'}, {'gramWeight': 31.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.6, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 16, 'portionDescription': 'Quantity not specified'}, {'gramWeight': 16, 'portionDescription': 'Quantity not specified, if in beverage'}, {'gramWeight': 126, 'portionDescription': 'Quantity not specified, as a drink or on cereal'}]"
"Milk, condensed, sweetened","{'Amount': 7.91, 'unit': 'g'}","{'Amount': 321, 'unit': 'kcal'}","{'Amount': 54.4, 'unit': 'g'}","{'Amount': 8.7, 'unit': 'g'}","[{'gramWeight': 304, 'portionDescription': '1 cup'}, {'gramWeight': 38, 'portionDescription': '1 fl oz'}, {'gramWeight': 19, 'portionDescription': 'Quantity not specified'}]"
